Employee Code,Total Working Days,Total Full Days,Half Days Due To Duration,Half Days Due To PunchMiss,Half Days Due To Lates,Total Half Days,Total Lates,Total Absent,Total Punch Missed,Total OT Days,Total Half OT Days,Total OT Hours
1225,22,11,0,1,0,1,0,0,2,7,0,0.00
1808,22,0,0,0,0,0,0,26,0,0,0,0.00
1812,22,10,0,0,0,0,0,4,2,7,0,0.00
1886,22,0,0,0,0,0,0,26,0,0,0,0.00
1927,22,5,0,0,0,0,3,10,9,2,4,0.00
5293,22,11,0,0,0,0,0,8,1,6,1,0.00
5299,22,11,0,0,0,0,0,0,1,7,0,0.00
5332,22,5,1,0,0,1,0,15,2,3,1,0.00
1001,22,13,2,0,1,3,3,0,1,8,0,0.00
1109,22,12,1,2,1,4,4,0,3,4,2,0.00
1204,22,12,0,0,0,0,4,0,0,8,0,0.00
1205,22,10,0,0,0,0,3,8,0,6,0,0.00
1324,22,7,0,0,2,2,1,13,0,3,0,0.00
1449,22,12,1,0,0,1,2,5,0,6,0,0.00
1544,22,12,2,0,0,2,1,0,0,7,0,0.00
1710,22,10,0,0,1,1,3,1,0,7,0,0.00
1733,22,11,0,0,0,0,0,0,1,7,0,0.00
1750,22,6,2,0,1,3,2,11,1,5,0,0.00
1758,22,10,4,0,0,4,0,4,1,6,0,0.00
1837,22,11,0,1,1,2,0,0,1,7,0,0.00
1947,22,12,0,0,0,0,0,0,0,8,0,0.00
1971,22,11,1,1,0,2,1,1,1,6,0,0.00
1972,22,8,0,0,1,1,2,7,1,4,1,0.00
1974,22,10,2,0,0,2,0,3,1,5,1,0.00
1975,22,12,0,0,0,0,0,0,0,7,0,0.00
1979,22,0,0,0,0,0,0,26,0,0,0,0.00
1980,22,12,2,1,0,3,1,0,2,8,0,0.00
1982,22,11,0,0,1,1,1,1,0,7,0,0.00
5267,22,14,3,0,0,3,1,0,0,7,0,0.00
5269,22,14,2,0,0,2,0,0,0,7,0,0.00
5298,22,7,2,0,0,2,3,10,1,6,0,0.00
5308,22,10,0,0,0,0,0,4,0,7,0,0.00
1107,22,10,3,0,2,5,0,5,0,6,0,0.00
1732,22,11,1,0,0,1,4,1,0,7,0,0.00
1751,22,10,3,0,0,3,4,6,1,7,1,0.00
1926,22,12,0,0,0,0,0,0,0,7,0,0.00
5124,22,11,0,0,0,0,0,0,1,7,0,0.00
5396,22,0,0,0,0,0,0,0,0,0,0,0.00
1590,22,9,0,0,0,0,3,5,0,5,1,0.00
1592,22,12,0,0,0,0,3,0,0,7,0,0.00
1744,22,11,0,0,0,0,1,0,1,7,0,0.00
1745,22,0,0,0,0,0,0,26,0,0,0,0.00
1755,22,12,0,0,0,0,3,0,0,7,0,0.00
1784,22,11,3,0,1,4,1,0,0,7,0,0.00
1872,22,9,1,0,2,3,1,1,0,7,0,0.00
1873,22,0,0,0,0,0,0,26,0,0,0,0.00
5258,22,11,0,0,0,0,0,1,0,7,0,0.00
5282,22,10,0,0,1,1,3,0,1,7,0,0.00
1286,22,9,1,0,0,1,0,4,2,7,0,0.00
5230,22,11,0,0,1,1,1,0,0,6,1,0.00
5231,22,12,0,0,0,0,0,0,0,7,0,0.00
5232,22,12,1,1,0,2,5,4,1,5,0,0.00
5261,22,0,0,0,0,0,0,26,0,0,0,0.00
5324,22,12,0,0,0,0,0,0,0,7,0,0.00
1280,22,0,0,0,0,0,0,26,0,0,0,0.00
1952,22,12,0,0,0,0,0,0,0,7,0,0.00
5302,22,8,0,0,6,6,3,3,3,7,1,0.00
1149,22,14,0,1,1,2,2,0,2,7,1,0.00
1620,22,0,0,0,0,0,0,26,0,0,0,0.00
1985,22,10,0,0,0,0,0,3,0,7,0,0.00
1987,22,0,0,0,0,0,0,26,0,0,0,0.00
1988,22,0,0,0,0,0,0,26,0,0,0,0.00
5118,22,8,0,0,0,0,0,10,3,5,1,0.00
5250,22,12,0,0,0,0,0,0,0,7,0,0.00
5276,22,15,0,1,0,1,0,0,1,7,0,0.00
5359,22,8,0,0,0,0,0,7,3,5,0,0.00
1581,22,0,0,0,0,0,0,26,0,0,0,0.00
1656,22,0,0,0,0,0,0,26,0,0,0,0.00
5245,22,0,0,0,0,0,0,26,0,0,0,0.00
1255,22,11,0,0,0,0,0,2,1,6,1,0.00
1662,22,8,0,0,0,0,0,10,3,4,1,0.00
2014,22,7,0,0,2,2,7,8,1,7,0,0.00
1965,22,2,0,0,0,0,2,23,0,1,0,0.00
1967,22,0,0,0,0,0,0,26,0,0,0,0.00
5325,22,3,0,0,0,0,1,20,0,2,1,0.00
5365,22,16,0,0,0,0,0,0,1,6,1,0.00
1227,22,11,0,0,0,0,0,1,0,7,0,0.00
1270,22,13,0,0,2,2,1,3,0,6,0,0.00
1343,22,17,0,0,0,0,0,1,0,6,0,0.00
1894,22,9,0,0,0,0,2,6,2,6,0,0.00
1895,22,12,0,0,0,0,3,0,0,6,1,0.00
1906,22,10,0,0,1,1,3,5,2,5,1,0.00
1929,22,12,2,0,0,2,0,0,0,7,0,0.00
1931,22,0,0,0,0,0,0,26,0,0,0,0.00
5226,22,0,0,0,0,0,0,26,0,0,0,0.00
5234,22,10,0,0,0,0,0,6,1,7,0,0.00
5240,22,9,0,0,0,0,0,4,1,6,1,0.00
5287,22,0,0,0,0,0,0,26,0,0,0,0.00
5295,22,9,0,1,0,1,2,10,2,6,0,0.00
5367,22,11,1,0,0,1,0,0,1,7,1,0.00
1664,22,11,0,0,1,1,0,0,1,7,0,0.00
1818,22,0,0,0,0,0,0,26,0,0,0,0.00
1839,22,0,0,0,0,0,0,26,0,0,0,0.00
5125,22,12,0,0,0,0,0,0,0,7,0,0.00
5127,22,0,0,0,0,0,0,26,0,0,0,0.00
5106,22,11,2,0,0,2,4,3,2,7,1,0.00
1284,22,12,0,0,0,0,0,5,0,6,0,0.00
1352,22,7,0,0,4,4,0,10,0,6,0,0.00
1917,22,8,3,0,0,3,0,6,1,6,0,0.00
1918,22,0,0,0,0,0,0,26,0,0,0,0.00
1919,22,11,1,0,1,2,5,5,0,6,0,0.00
1920,22,13,1,0,2,3,3,0,0,8,0,0.00
5327,22,11,1,0,0,1,1,7,0,5,0,0.00
5147,22,0,0,0,0,0,0,26,0,0,0,0.00
1622,22,0,0,0,0,0,0,26,0,0,0,0.00
1583,22,0,0,0,0,0,0,26,0,0,0,0.00
1869,22,0,0,0,0,0,0,26,0,0,0,0.00
1623,22,0,0,0,0,0,0,26,0,0,0,0.00
1730,22,0,0,0,0,0,0,26,0,0,0,0.00
1683,22,0,0,0,0,0,0,26,0,0,0,0.00
1955,22,0,0,0,0,0,0,26,0,0,0,0.00
1937,22,0,0,0,0,0,0,26,0,0,0,0.00
1791,22,0,0,0,0,0,0,26,0,0,0,0.00
1811,22,9,0,0,1,1,1,6,2,5,0,0.00
1820,22,10,0,0,0,0,0,7,0,4,0,0.00
1938,22,12,0,0,0,0,0,0,0,7,0,0.00
5109,22,0,0,0,1,1,0,25,0,0,0,0.00
5117,22,10,0,0,0,0,3,5,2,6,1,0.00
1016,22,12,3,3,0,6,2,2,5,6,1,0.00
1092,22,9,0,0,0,0,0,6,1,6,0,0.00
1802,22,0,0,0,0,0,0,26,0,0,0,0.00
1928,22,6,0,0,0,0,1,11,3,5,2,0.00
5281,22,8,0,0,2,2,1,6,2,5,2,0.00
1794,22,14,0,0,0,0,2,1,0,7,0,0.00
1832,22,0,0,0,0,0,0,26,0,0,0,0.00
1853,22,9,2,0,1,3,0,2,0,7,0,0.00
1877,22,12,0,0,1,1,2,1,2,6,1,0.00
1113,22,0,0,0,0,0,0,26,0,0,0,0.00
1191,22,0,0,0,0,0,0,26,0,0,0,0.00
5273,22,12,1,1,0,2,0,0,1,7,0,0.00
5301,22,12,2,0,0,2,0,0,0,7,0,0.00
5339,22,11,0,0,0,0,0,7,1,7,0,0.00
5349,22,10,0,0,0,0,1,9,3,4,3,0.00
5313,22,0,0,0,0,0,0,26,0,0,0,0.00
5315,22,0,0,0,0,0,0,26,0,0,0,0.00
5321,22,7,0,0,0,0,0,11,0,3,0,0.00
5322,22,0,0,0,0,0,0,26,0,0,0,0.00
5323,22,8,0,0,0,0,2,9,1,7,0,0.00
5390,22,2,0,0,0,0,0,13,2,2,0,0.00
1097,22,9,0,0,0,0,4,8,4,5,1,0.00
1234,22,11,0,0,0,0,0,1,0,7,0,0.00
1692,22,8,0,0,0,0,3,10,3,5,0,0.00
1697,22,0,0,0,0,0,0,26,0,0,0,0.00
1701,22,0,0,0,0,0,0,26,0,0,0,0.00
1716,22,0,0,0,0,0,0,26,0,0,0,0.00
1737,22,9,0,0,0,0,0,7,1,6,0,0.00
1817,22,0,0,0,0,0,0,26,0,0,0,0.00
1857,22,0,0,0,0,0,0,26,0,0,0,0.00
1860,22,0,0,0,0,0,0,26,0,0,0,0.00
1606,22,8,0,0,0,0,0,10,0,5,0,0.00
1723,22,0,0,0,0,0,0,26,0,0,0,0.00
1748,22,0,0,0,0,0,0,26,0,0,0,0.00
1806,22,11,0,0,0,0,0,1,0,7,0,0.00
1828,22,12,0,0,0,0,2,0,1,7,1,0.00
1835,22,6,2,0,0,2,3,10,1,6,0,0.00
1904,22,0,0,0,0,0,0,26,0,0,0,0.00
1907,22,11,0,0,0,0,0,5,1,6,1,0.00
1908,22,5,0,0,6,6,4,2,0,5,0,0.00
1661,22,0,0,0,0,0,0,26,0,0,0,0.00
1050,22,10,0,0,1,1,2,3,1,5,1,0.00
1605,22,0,0,0,0,0,0,26,0,0,0,0.00
1796,22,0,0,0,0,0,0,26,0,0,0,0.00
1874,22,0,0,0,0,0,0,26,0,0,0,0.00
1883,22,0,0,0,0,0,0,26,0,0,0,0.00
1946,22,9,1,0,0,1,4,4,3,4,2,0.00
5205,22,0,0,0,0,0,0,26,0,0,0,0.00
5206,22,1,0,0,6,6,1,4,6,4,3,0.00
5207,22,10,0,0,1,1,0,6,1,6,1,0.00
1847,22,12,0,0,0,0,0,1,0,6,0,0.00
1997,22,10,0,0,0,0,0,3,0,6,0,0.00
2002,22,0,0,0,0,0,0,26,0,0,0,0.00
5348,22,12,0,0,0,0,0,1,0,6,0,0.00
1998,22,8,0,0,4,4,7,6,1,6,1,0.00
5115,22,0,0,0,0,0,0,26,0,0,0,0.00
5294,22,10,0,0,1,1,5,5,1,5,1,0.00
5363,22,11,0,0,2,2,4,4,1,6,1,0.00
1237,22,2,0,0,8,8,0,10,2,2,4,0.00
1529,22,10,0,1,0,1,0,7,3,4,2,0.00
1600,22,0,0,0,0,0,0,26,0,0,0,0.00
1648,22,11,0,0,0,0,0,5,1,5,1,0.00
1652,22,9,0,0,0,0,0,13,1,4,1,0.00
1673,22,14,0,0,0,0,0,0,1,6,1,0.00
5102,22,6,0,0,0,0,1,14,0,3,0,0.00
5200,22,0,0,0,0,0,0,26,0,0,0,0.00
5271,22,8,0,0,0,0,0,7,1,7,0,0.00
5343,22,11,1,0,0,1,0,0,1,6,1,0.00
2001,22,0,0,0,0,0,0,26,0,0,0,0.00
5110,22,0,0,0,0,0,0,26,0,0,0,0.00
5354,22,12,0,0,0,0,2,0,0,7,0,0.00
1240,22,11,0,0,2,2,4,4,2,7,0,0.00
1566,22,10,1,0,0,1,2,4,2,5,2,0.00
1930,22,12,0,0,2,2,0,0,1,6,1,0.00
5190,22,9,0,0,2,2,3,10,1,5,1,0.00
1295,22,15,0,0,0,0,0,3,3,6,2,0.00
1836,22,0,0,0,0,0,0,26,0,0,0,0.00
5129,22,2,0,0,0,0,2,17,5,2,1,0.00
5316,22,11,9,0,0,9,1,1,0,7,0,0.00
1939,22,12,0,0,0,0,0,0,0,7,0,0.00
5194,22,5,1,0,1,2,0,14,0,2,0,0.00
1355,22,10,1,0,0,1,0,2,0,6,0,0.00
1852,22,11,1,0,0,1,0,0,0,7,0,0.00
1797,22,0,0,0,0,0,0,26,0,0,0,0.00
1842,22,0,0,0,0,0,0,26,0,0,0,0.00
1845,22,0,0,0,0,0,0,26,0,0,0,0.00
1848,22,11,0,0,0,0,3,0,1,5,2,0.00
5378,22,12,0,0,0,0,0,0,0,7,0,0.00
5392,22,6,1,0,0,1,0,10,1,3,1,0.00
5381,22,13,0,0,0,0,0,1,0,6,0,0.00
5384,22,8,1,0,1,2,0,6,0,7,0,0.00
5386,22,1,0,0,0,0,1,24,0,0,0,0.00
5397,22,0,0,0,0,0,0,0,0,0,0,0.00
5268,22,0,0,0,0,0,0,26,0,0,0,0.00
5311,22,0,0,0,0,0,0,26,0,0,0,0.00
1233,22,8,0,0,1,1,0,11,0,5,0,0.00
1624,22,5,2,1,0,3,0,12,1,1,3,0.00
1649,22,0,0,0,0,0,0,26,0,0,0,0.00
5279,22,0,0,0,0,0,0,26,0,0,0,0.00
5285,22,0,0,0,0,0,0,26,0,0,0,0.00
5319,22,11,3,0,0,3,0,3,0,5,0,0.00
5374,22,10,4,0,1,5,1,1,0,2,4,0.00
5119,22,0,0,0,0,0,0,26,0,0,0,0.00
5130,22,0,0,0,0,0,0,26,0,0,0,0.00
5139,22,13,1,1,0,2,0,0,1,7,0,0.00
5140,22,0,0,0,0,0,0,26,0,0,0,0.00
5141,22,8,0,0,0,0,0,4,4,7,0,0.00
5143,22,0,0,0,0,0,0,26,0,0,0,0.00
5144,22,2,2,0,3,5,3,12,4,3,0,0.00
5145,22,0,0,0,0,0,0,26,0,0,0,0.00
5236,22,0,0,0,0,0,0,26,0,0,0,0.00
5237,22,10,0,0,2,2,3,1,0,6,0,0.00
1746,22,0,0,0,0,0,0,26,0,0,0,0.00
5154,22,0,0,0,0,0,0,26,0,0,0,0.00
5164,22,11,0,0,0,0,1,0,1,7,0,0.00
5165,22,0,0,0,0,0,0,26,0,0,0,0.00
5166,22,12,0,0,0,0,4,0,1,6,1,0.00
5167,22,12,0,0,0,0,0,0,0,7,0,0.00
5179,22,12,6,0,1,7,3,3,1,6,0,0.00
5180,22,10,1,0,1,2,3,9,1,5,0,0.00
5181,22,13,5,0,0,5,0,1,1,6,0,0.00
5182,22,0,0,0,0,0,0,26,0,0,0,0.00
5183,22,0,0,0,0,0,0,26,0,0,0,0.00
5184,22,9,0,0,0,0,0,6,1,7,0,0.00
5185,22,9,0,0,1,1,0,8,0,7,0,0.00
5186,22,0,0,0,0,0,0,26,0,0,0,0.00
5188,22,11,0,0,0,0,2,0,1,7,0,0.00
5189,22,8,0,0,0,0,2,8,0,5,0,0.00
5191,22,3,1,0,0,1,0,17,0,4,1,0.00
5193,22,12,0,0,0,0,3,0,0,7,0,0.00
5195,22,10,0,0,0,0,0,5,0,6,0,0.00
5196,22,0,0,0,0,0,0,26,0,0,0,0.00
5197,22,11,0,0,0,0,0,2,0,6,0,0.00
5198,22,7,2,0,0,2,0,13,1,2,1,0.00
5201,22,12,0,0,0,0,0,0,0,7,0,0.00
5202,22,12,0,0,0,0,1,0,0,7,0,0.00
5203,22,12,0,0,1,1,0,0,0,7,0,0.00
5204,22,0,0,0,0,0,0,26,0,0,0,0.00
5216,22,10,0,0,0,0,0,7,1,6,0,0.00
5219,22,3,0,0,0,0,2,20,1,2,0,0.00
5220,22,0,0,0,0,0,0,26,0,0,0,0.00
5221,22,7,0,0,1,1,5,10,1,6,1,0.00
5222,22,0,0,0,0,0,0,26,0,0,0,0.00
5223,22,12,3,1,0,4,1,0,1,7,0,0.00
5224,22,0,0,0,0,0,0,26,0,0,0,0.00
5238,22,8,0,0,0,0,1,7,1,6,0,0.00
5255,22,8,2,0,0,2,2,7,1,6,0,0.00
5256,22,12,3,0,0,3,0,1,1,6,0,0.00
5263,22,9,0,0,2,2,0,4,0,7,0,0.00
5264,22,12,0,0,0,0,0,0,0,7,0,0.00
5265,22,6,0,0,1,1,0,10,1,5,0,0.00
5270,22,10,0,0,0,0,0,7,3,6,1,0.00
5274,22,9,1,0,0,1,0,4,0,7,0,0.00
5283,22,9,0,0,0,0,0,7,4,6,1,0.00
5291,22,0,0,0,0,0,0,26,0,0,0,0.00
5296,22,10,0,1,0,1,1,6,2,6,1,0.00
5305,22,9,0,0,0,0,0,11,0,3,0,0.00
5312,22,10,1,0,0,1,0,7,0,7,0,0.00
5333,22,12,0,0,0,0,0,0,1,6,1,0.00
5334,22,11,1,0,0,1,0,0,0,7,0,0.00
5337,22,11,1,0,0,1,0,0,0,7,0,0.00
5346,22,12,0,0,0,0,0,0,0,7,0,0.00
5351,22,0,0,0,0,0,0,26,0,0,0,0.00
5356,22,8,0,0,0,0,1,12,0,5,1,0.00
5380,22,11,0,0,0,0,2,1,0,7,0,0.00
5113,22,10,0,0,0,0,1,7,1,7,0,0.00
1986,22,5,1,0,1,2,3,8,2,6,0,0.00
5108,22,9,0,0,0,0,2,7,0,6,1,0.00
5112,22,0,0,0,0,0,0,26,0,0,0,0.00
5218,22,12,0,0,0,0,1,1,0,7,0,0.00
5369,22,10,0,0,1,1,2,1,0,7,0,0.00
1231,22,0,0,0,0,0,0,26,0,0,0,0.00
1556,22,12,0,0,0,0,1,3,1,5,1,0.00
1557,22,12,0,1,0,1,0,0,1,8,0,0.00
1567,22,11,2,0,0,2,0,2,1,6,1,0.00
1573,22,7,1,0,5,6,4,6,3,5,1,0.00
1574,22,15,3,0,1,4,0,1,3,7,1,0.00
1580,22,0,0,0,0,0,0,26,0,0,0,0.00
1612,22,1,0,0,0,0,0,23,0,1,0,0.00
1631,22,0,0,0,0,0,0,26,0,0,0,0.00
1703,22,0,0,0,0,0,0,26,0,0,0,0.00
1704,22,0,0,0,0,0,0,26,0,0,0,0.00
1705,22,0,0,0,0,0,0,26,0,0,0,0.00
1706,22,5,1,0,0,1,1,12,2,5,1,0.00
1709,22,12,0,0,0,0,1,0,0,7,0,0.00
1711,22,10,0,0,0,0,0,3,0,6,0,0.00
1714,22,9,0,0,0,0,0,10,1,5,1,0.00
1720,22,11,2,0,0,2,1,0,0,7,0,0.00
1753,22,12,0,0,0,0,0,0,0,7,0,0.00
1764,22,11,2,0,0,2,2,1,0,7,1,0.00
1798,22,12,0,0,0,0,0,0,0,7,0,0.00
1868,22,12,0,2,0,2,3,0,2,7,0,0.00
1898,22,12,1,0,0,1,1,0,0,7,0,0.00
1958,22,11,0,2,0,2,0,1,2,7,0,0.00
1960,22,10,1,0,0,1,3,3,1,5,1,0.00
1977,22,0,0,0,0,0,0,26,0,0,0,0.00
2004,22,11,0,0,1,1,4,0,0,7,0,0.00
2007,22,3,1,0,0,1,2,15,2,1,2,0.00
